,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Length,Producer(s)_1,Producer(s)_2,Producer(s)_3,Producer(s)_4,Producer(s)_5,Producer(s)_6,Producer(s)_7,Producer(s)_8,Released,Songwriter(s)_1,Songwriter(s)_10,Songwriter(s)_11,Songwriter(s)_12,Songwriter(s)_13,Songwriter(s)_14,Songwriter(s)_15,Songwriter(s)_16,Songwriter(s)_17,Songwriter(s)_18,Songwriter(s)_19,Songwriter(s)_2,Songwriter(s)_20,Songwriter(s)_21,Songwriter(s)_22,Songwriter(s)_23,Songwriter(s)_24,Songwriter(s)_3,Songwriter(s)_4,Songwriter(s)_5,Songwriter(s)_6,Songwriter(s)_7,Songwriter(s)_8,Songwriter(s)_9,artist,index,link,rank,title,year
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leroy Anderson,0,https://en.wikipedia.org/wiki/Blue_Tango,1,"""Blue Tango""",1952
61,,,,,,,,,,,,,,,,,,Bennie Benjamin,,,,,,,,,,,George David Weiss,,,,,,,,,,,,,Kay Starr,1,https://en.wikipedia.org/wiki/Wheel_of_Fortune_(1952_song),2,"""Wheel of Fortune""",1952
62,Pop,,,,,,,3:02,Mitch Miller,,,,,,,,October 1951,Churchill Kohlman,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Ray & The Four Lads,2,https://en.wikipedia.org/wiki/Cry_(Churchill_Kohlman_song),3,"""Cry""",1952
63,Pop,,,,,,,,,,,,,,,,,"Chilton Price, Pee Wee King, Redd Stewart",,,,,,,,,,,,,,,,,,,,,,,,Jo Stafford,3,https://en.wikipedia.org/wiki/You_Belong_to_Me_(1952_song),4,"""You Belong to Me""",1952
64,,,,,,,,,,,,,,,,,,John Turner and Geoffrey Parsons,,,,,,,,,,,,,,,,,,,,,,,,Vera Lynn,4,https://en.wikipedia.org/wiki/Auf_Wiederseh%27n_Sweetheart,5,"""Auf Wiederseh'n Sweetheart""",1952
65,Country,,,,,,,2:42,Fred Rose,,,,,,,,March 1952,Curley Williams,,,,,,,,,,,,,,,,,,,,,,,,Rosemary Clooney,5,https://en.wikipedia.org/wiki/Half_as_Much,6,"""Half as Much""",1952
68,Easy listening,,,,,,,,,,,,,,,,1952[1],"Pat Genaro, Lou Levinson, and Bill Borrelli[2]",,,,,,,,,,,,,,,,,,,,,,,,Al Martino,8,https://en.wikipedia.org/wiki/Here_in_My_Heart,9,"""Here in My Heart""",1952
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percy Faith,9,https://en.wikipedia.org/wiki/Delicado,10,"""Delicado""",1952
70,Tango,,,,,,,,,,,,,,,,,Ángel Villoldo,,,,,,,,,,,,,,,,,,,,,,,,Georgia Gibbs,10,https://en.wikipedia.org/wiki/El_Choclo,11,"""Kiss of Fire""",1952
72,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,The Four Aces,12,https://en.wikipedia.org/wiki/Tell_Me_Why_(1951_song),13,"""Tell Me Why""",1952
73,,,,,,,,,,,,,,,,,1952 (1952),Jack Holmes,,,,,,,,,,,,,,,,,,,,,,,,Ella Mae Morse,13,https://en.wikipedia.org/wiki/Blacksmith_Blues,14,"""Blacksmith Blues""",1952
74,Country,Pop,,,,,,2:52,,,,,,,,,"July 19, 1952","Hank Williams, Moon Mullican",,,,,,,,,,,,,,,,,,,,,,,,Jo Stafford,14,https://en.wikipedia.org/wiki/Jambalaya_(On_the_Bayou),15,"""Jambalaya (On the Bayou)""",1952
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemary Clooney,15,https://en.wikipedia.org/wiki/Botch-a-Me_(Ba-Ba-Baciami_Piccina),16,"""Botch-a-Me (Ba-Ba-Baciami Piccina)""",1952
76,,,,,,,,,,,,,,,,,,Oscar Brand,,,,,,,,,,,,,,,,,,,,,,,,Doris Day,16,https://en.wikipedia.org/wiki/A_Guy_Is_a_Guy,17,"""A Guy Is a Guy""",1952
77,Pop,,,,,,,2:14,Mitch Miller,,,,,,,,October 1951,Johnnie Ray,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Ray,17,https://en.wikipedia.org/wiki/The_Little_White_Cloud_That_Cried,18,"""The Little White Cloud That Cried""",1952
78,,,,,,,,,,,,,,,,,,Composer: Dimitri Tiomkin,,,,,,,,,,,Lyricist: Ned Washington,,,,,,,,,,,,,Frankie Laine,18,https://en.wikipedia.org/wiki/The_Ballad_of_High_Noon,19,"""High Noon""",1952
83,Jazz,,,,,,,,,,,,,,,,,Fred E. Ahlert,,,,,,,,,,,Roy Turk,,,,,,,,,,,,,Johnnie Ray,23,https://en.wikipedia.org/wiki/Walkin%27_My_Baby_Back_Home_(song),24,"""Walkin' My Baby Back Home""",1952
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Paul,24,https://en.wikipedia.org/wiki/Les_Paul,25,"""Meet Mister Callaghan""",1952
87,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,Eddie Fisher,27,https://en.wikipedia.org/wiki/Tell_Me_Why_(1951_song),28,"""Tell Me Why""",1952
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hilltoppers,28,https://en.wikipedia.org/wiki/The_Hilltoppers_(band),29,"""Trying""",1952
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Ray & The Four Lads,29,https://en.wikipedia.org/wiki/Johnnie_Ray,30,"""Please Mr. Sun""",1952
91,Pop,,,,,,,2:50,,,,,,,,,June 1953,"Larry Russell, Inez James, and Buddy Pepper",,,,,,,,,,,,,,,,,,,,,,,,Les Paul & Mary Ford,1,https://en.wikipedia.org/wiki/Vaya_con_Dios_(song),2,"""Vaya con Dios""",1953
92,Novelty,Traditional pop,,,,,,2:58,,,,,,,,,January 1953 (1953-01),Bob Merrill,,,,,,,,,,,,,,,,,,,,,,,,Patti Page,2,https://en.wikipedia.org/wiki/(How_Much_Is)_That_Doggie_in_the_Window%3F,3,"""(How Much Is) That Doggie in the Window?""",1953
94,,,,,,,,2:53,,,,,,,,,1953,"Olias Lotar, Robert Mellin",,,,,,,,,,,,,,,,,,,,,,,,Ames Brothers,4,"https://en.wikipedia.org/wiki/You,_You,_You",5,"""You, You, You""",1953
96,Fado,,,,,,,,,,,,,,,,,Composer:Raul Ferrão,,,,,,,,,,,"Lyricist: Jose Galhardo (Portuguese), Jimmy Kennedy (English)",,,,,,,,,,,,,Les Baxter,6,https://en.wikipedia.org/wiki/April_in_Portugal_(song),7,"""April in Portugal""",1953
